S.No,Project,Sector,State,District,Budget_Outlay_Cr,Amount_Spent_Cr,Implementation_Mode,Year,Company
1,Ajmer Dargah-Swatch Bharat Abhiyaan,Training To Promote Sports,Rajasthan,Ajmer,7.54,1.68,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
2,Brownfield & Greenfield Nandghar,Education,Rajasthan,Nec/ Not Mentioned,0,1.46,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
3,Jeevan Tarang Zinc Ke Sang,Education,Rajasthan,Nec/ Not Mentioned,2.5,1.32,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
4,Rural Education Program & Company Run School,Education,Rajasthan,Nec/ Not Mentioned,20.32,12.54,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
5,Shiksha Sambal Project,Education,Rajasthan,Nec/ Not Mentioned,6.15,6.06,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
6,Vedanta Bal Chetna Anganwadi And Child Care Project (Khushi Project),Education,Rajasthan,Nec/ Not Mentioned,22.77,17.33,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
7,Social Forestry/ Envirement,Environmental Sustainability,Rajasthan,Nec/ Not Mentioned,8.39,3.35,Directly by company,FY 2019-20,Hindustan Zinc Limited
8,"Health, Water & Sanitation Including Company Run Hospitals",Health Care,Rajasthan,Nec/ Not Mentioned,25.78,21.04,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
9,Agriculture Project (Samadhan Project),Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,7.82,5.09,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
10,Animal Husbandary Project,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,0,0,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
11,Vocational Training For Youth (Hzl Mining Academy),Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,22.27,10.36,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
12,Rural Infrastructure,Rural Development Projects,Rajasthan,Nec/ Not Mentioned,41.59,8.53,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
13,"Miscellneous Initiatives, Social Audit, Evaluation, Csr Communications, Etc & Program Management",Socio-Economic Equalities,Rajasthan,Nec/ Not Mentioned,6.95,5.17,Directly by company,FY 2019-20,Hindustan Zinc Limited
14,Football Academy,Training To Promote Sports,Rajasthan,Nec/ Not Mentioned,20,12.12,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
15,Sports & Culture,Training To Promote Sports,Rajasthan,Nec/ Not Mentioned,1.97,3.35,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
16,Women Empowerment (Sakhi Project),Women Empowerment,Rajasthan,Nec/ Not Mentioned,15.91,4.98,Other implementing agencies,FY 2019-20,Hindustan Zinc Limited
17,Hospital Upgradation,Health Care,Rajasthan,Udaipur,5,0,Directly by company,FY 2019-20,Hindustan Zinc Limited
18,Stp- Maintenance And Depreciation,Health Care,Rajasthan,Udaipur,8.5,17.27,Directly by company,FY 2019-20,Hindustan Zinc Limited
,Grand Total (INR Cr.),,,,223.46,0,,FY 2019-20,Hindustan Zinc Limited
1,Ajmer Dargah-Swatch Bharat Abhiyaan,Training To Promote Sports,Rajasthan,Ajmer,1000,1.76,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
2,Sports & Culture,Art And Culture,Rajasthan,Nec/ Not Mentioned,532,2.67,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
3,Brownfield & Greenfield Nandghar,Education,Rajasthan,Nec/ Not Mentioned,2950,16.94,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
4,Jeevan Tarang Zinc Ke Sang,Education,Rajasthan,Nec/ Not Mentioned,220,1.23,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
5,Rural Education Program & Company Run School,Education,Rajasthan,Nec/ Not Mentioned,2423,10.98,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
6,Shiksha Sambal Project,Education,Rajasthan,Nec/ Not Mentioned,400,4.2,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
7,Vedanta Bal Chetna Anganwadi And Child Care Project (Khushi Project),Education,Rajasthan,Nec/ Not Mentioned,2030,18.05,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
8,Social Forestry/ Envirement,Environmental Sustainability,Rajasthan,Nec/ Not Mentioned,493,2.58,Directly by company,FY 2018-19,Hindustan Zinc Limited
9,"Health, Water & Sanitation Including Company Run Hospitals",Health Care,Rajasthan,Nec/ Not Mentioned,1930,11.22,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
10,Agriculture Project (Samadhan Project),Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,1130,6.42,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
11,Animal Husbandary Project,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,10,0,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
12,Vocational Training For Youth (Yuvantaran Project),Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,1840,9.9,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
13,Rural Infrastructure,Rural Development Projects,Rajasthan,Nec/ Not Mentioned,1432,9.44,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
14,"Miscellneous Initiatives, Social Audit, Evaluation, Csr Communications, Etc & Program Management",Socio-Economic Equalities,Rajasthan,Nec/ Not Mentioned,667,5.53,Directly by company,FY 2018-19,Hindustan Zinc Limited
15,Football Academy,Training To Promote Sports,Rajasthan,Nec/ Not Mentioned,1500,15.46,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
16,Women Empowerment (Sakhi Project),Women Empowerment,Rajasthan,Nec/ Not Mentioned,943,5.4,Other implementing agencies,FY 2018-19,Hindustan Zinc Limited
17,Hospital Upgradation,Health Care,Rajasthan,Udaipur,0,0,Directly by company,FY 2018-19,Hindustan Zinc Limited
18,Stp- Maintenance And Depreciation,Health Care,Rajasthan,Udaipur,900,8.4,Directly by company,FY 2018-19,Hindustan Zinc Limited
,Grand Total (INR Cr.),,,,20400,0,,FY 2018-19,Hindustan Zinc Limited
1,,Nec/ Not Mentioned,Nec/ Not Mentioned,Nec/ Not Mentioned,0,0,Nec/ Not mentioned,FY 2017-18,Hindustan Zinc Limited
2,Ajmer Dargah-Swatch Bharat Abhiyaan,Training To Promote Sports,Rajasthan,Ajmer,9.9,0.95,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
3,Sports & Culture,Art And Culture,Rajasthan,Nec/ Not Mentioned,1.1,3.5,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
4,Brownfield & Greenfield Nandghar,Education,Rajasthan,Nec/ Not Mentioned,68,5.43,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
5,Jeevan Tarang Zinc Ke Sang,Education,Rajasthan,Nec/ Not Mentioned,2,0.95,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
6,Rural Education Program & Company Run School,Education,Rajasthan,Nec/ Not Mentioned,8.39,7.76,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
7,Shiksha Sambal Project,Education,Rajasthan,Nec/ Not Mentioned,2.8,3.59,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
8,Vedanta Bal Chetna Anganwadi And Child Care Project (Khushi Project),Education,Rajasthan,Nec/ Not Mentioned,15,15.77,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
9,Social Forestry/ Envirement,Environmental Sustainability,Rajasthan,Nec/ Not Mentioned,1.83,1.48,Directly by company,FY 2017-18,Hindustan Zinc Limited
10,"Health, Water & Sanitation Including Company Run Hospitals",Health Care,Rajasthan,Nec/ Not Mentioned,19.9,8.03,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
11,Agriculture Project (Samadhan Project),Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,5,4.09,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
12,Animal Husbandary Project,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,0.13,0,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
13,Vocational Training For Youth (Yuvantaran Project),Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,10,7.9,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
14,Rural Infrastructure,Rural Development Projects,Rajasthan,Nec/ Not Mentioned,10.78,7.89,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
15,"Miscellneous Initiatives, Social Audit, Evaluation, Csr Communications, Etc & Program Management",Socio-Economic Equalities,Rajasthan,Nec/ Not Mentioned,6.31,4.08,Directly by company,FY 2017-18,Hindustan Zinc Limited
16,Football Academy,Training To Promote Sports,Rajasthan,Nec/ Not Mentioned,15,8.7,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
17,Women Empowerment (Sakhi Project),Women Empowerment,Rajasthan,Nec/ Not Mentioned,5.21,3.57,Other implementing agencies,FY 2017-18,Hindustan Zinc Limited
18,Hospital Upgradation,Health Care,Rajasthan,Udaipur,0.3,0.28,Directly by company,FY 2017-18,Hindustan Zinc Limited
19,Stp- Maintenance And Depreciation,Health Care,Rajasthan,Udaipur,8,8.21,Directly by company,FY 2017-18,Hindustan Zinc Limited
,Grand Total (INR Cr.),,,,189.65,0,,FY 2017-18,Hindustan Zinc Limited
1,Nec/ Not Mentioned,Nec/ Not Mentioned,Nec/ Not Mentioned,Nec/ Not Mentioned,0,0,Nec/ Not mentioned,FY 2016-17,Hindustan Zinc Limited
2,Sports & Culture,Art And Culture,Rajasthan,Nec/ Not Mentioned,468,4.92,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
3,Rural Education Program & Company Run School,Education,Rajasthan,Nec/ Not Mentioned,652,6.41,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
4,Shiksha Sambal Project,Education,Rajasthan,Nec/ Not Mentioned,300,2.48,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
5,Vedanta Bal Chetna Anganwadi And Child Care Project (Khushi Project),Education,Rajasthan,Nec/ Not Mentioned,1400,8.41,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
6,Social Forestry/ Envirement,Environmental Sustainability,Rajasthan,Nec/ Not Mentioned,116,0.76,Directly by company,FY 2016-17,Hindustan Zinc Limited
7,"Health, Water & Sanitation Including Company Run Hospitals",Health Care,Rajasthan,Nec/ Not Mentioned,879,6.17,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
8,Agriculture Project (Samadhan Project),Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,500,0.63,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
9,Animal Husbandary Project,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,67,0.37,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
10,Vocational Training For Youth (Yuvantaran Project),Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,320,1.21,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
11,Rural Infrastructure,Rural Development Projects,Rajasthan,Nec/ Not Mentioned,1235,4.52,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
12,"Miscellneous Initiatives, Social Audit, Evaluation, Csr Communications, Etc & Program Management",Socio-Economic Equalities,Rajasthan,Nec/ Not Mentioned,2652,4.15,Directly by company,FY 2016-17,Hindustan Zinc Limited
13,Women Empowerment (Sakhi Project),Women Empowerment,Rajasthan,Nec/ Not Mentioned,350,1.52,Other implementing agencies,FY 2016-17,Hindustan Zinc Limited
14,Hospital Upgradation,Health Care,Rajasthan,Udaipur,100,0,Directly by company,FY 2016-17,Hindustan Zinc Limited
15,Stp- Maintenance And Depreciation,Health Care,Rajasthan,Udaipur,700,7.85,Directly by company,FY 2016-17,Hindustan Zinc Limited
,Grand Total (INR Cr.),,,,9739,0,,FY 2016-17,Hindustan Zinc Limited
1,Others,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,100.1,7.74,Nec/ Not mentioned,FY 2015-16,Hindustan Zinc Limited
2,Impact Study For Social Audit,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0,0,Other implementing agencies,FY 2015-16,Hindustan Zinc Limited
3,Others,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,3.75,6.73,Nec/ Not mentioned,FY 2015-16,Hindustan Zinc Limited
4,Program Management,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,2.4,2.69,Directly by company,FY 2015-16,Hindustan Zinc Limited
5,Rural Education Program & Company Run Schools,Education,Rajasthan,Nec/ Not Mentioned,11.8,9.31,Directly by company,FY 2015-16,Hindustan Zinc Limited
6,Vedanta Bal Chetna Anganwadi And Child Care,Education,Rajasthan,Nec/ Not Mentioned,10.4,1.52,Other implementing agencies,FY 2015-16,Hindustan Zinc Limited
7,Social Forestry,Environmental Sustainability,Rajasthan,Nec/ Not Mentioned,0.2,1.37,Other implementing agencies,FY 2015-16,Hindustan Zinc Limited
8,"Health,Water & Sanitation Including Company Run Hospitals",Health Care,Rajasthan,Nec/ Not Mentioned,14.65,12.83,Other implementing agencies,FY 2015-16,Hindustan Zinc Limited
9,Hospital Upgradation,Health Care,Rajasthan,Nec/ Not Mentioned,0.4,3.71,Directly by company,FY 2015-16,Hindustan Zinc Limited
10,Integrated Health Programme,Health Care,Rajasthan,Nec/ Not Mentioned,8,0,Nec/ Not mentioned,FY 2015-16,Hindustan Zinc Limited
11,Agriculture Project,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,9,0,Nec/ Not mentioned,FY 2015-16,Hindustan Zinc Limited
12,Agriculture Project,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,0,0,Other implementing agencies,FY 2015-16,Hindustan Zinc Limited
13,Animal Husbandry Project,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,1.15,0.49,Other implementing agencies,FY 2015-16,Hindustan Zinc Limited
14,Vocational Training For Youth,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,2,0.72,Other implementing agencies,FY 2015-16,Hindustan Zinc Limited
15,Rural Infrastructure,Rural Development Projects,Rajasthan,Nec/ Not Mentioned,5.5,16.08,Nec/ Not mentioned,FY 2015-16,Hindustan Zinc Limited
16,Csr At Uttrakhand Units,Livelihood Enhancement Projects,Uttarakhand,Nec/ Not Mentioned,0.7,0.07,Directly by company,FY 2015-16,Hindustan Zinc Limited
,Grand Total (INR Cr.),,,,170.05,0,,FY 2015-16,Hindustan Zinc Limited
1,Others,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,5.09,5.09,Nec/ Not mentioned,FY 2014-15,Hindustan Zinc Limited
2,Program Management,Nec/ Not Mentioned,Pan India,Nec/ Not Mentioned,2.61,2.61,Nec/ Not mentioned,FY 2014-15,Hindustan Zinc Limited
3,Education Differently Abled Livelihood,Education,Rajasthan,Nec/ Not Mentioned,3.14,3.14,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Hindustan Zinc Limited
4,Education Differently Abled Livelihood,Education,Rajasthan,Nec/ Not Mentioned,13.67,13.67,Directly by company,FY 2014-15,Hindustan Zinc Limited
5,Environment Animal Welfare Conservation Of Resources,Environmental Sustainability,Rajasthan,Nec/ Not Mentioned,1.09,1.09,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Hindustan Zinc Limited
6,Health Eradicating Hunger Poverty And Malnutrition Safe Drinking Water Sanitation,Health Care,Rajasthan,Nec/ Not Mentioned,0.01,0.01,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Hindustan Zinc Limited
7,Health Eradicating Hunger Poverty And Malnutrition Safe Drinking Water Sanitation,Health Care,Rajasthan,Nec/ Not Mentioned,10.23,10.23,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Hindustan Zinc Limited
8,Health Eradicating Hunger Poverty And Malnutrition Safe Drinking Water Sanitation,Health Care,Rajasthan,Nec/ Not Mentioned,2.37,2.37,Directly by company,FY 2014-15,Hindustan Zinc Limited
9,Education Differently Abled Livelihood,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,0.01,0.01,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Hindustan Zinc Limited
10,Education Differently Abled Livelihood,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,0.77,0.77,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Hindustan Zinc Limited
11,Education Differently Abled Livelihood,Livelihood Enhancement Projects,Rajasthan,Nec/ Not Mentioned,2.44,2.44,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Hindustan Zinc Limited
12,Any Other Fund,Nec/ Not Mentioned,Rajasthan,Nec/ Not Mentioned,0.54,0.54,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Hindustan Zinc Limited
13,Any Other Fund,Nec/ Not Mentioned,Rajasthan,Nec/ Not Mentioned,7.98,7.98,Directly by company,FY 2014-15,Hindustan Zinc Limited
14,Rural Development,Rural Development Projects,Rajasthan,Nec/ Not Mentioned,9.33,9.33,By Trusts/Societies/ Section 8 company set up by company itself,FY 2014-15,Hindustan Zinc Limited
,Grand Total (INR Cr.),,,,59.28,0,,FY 2014-15,Hindustan Zinc Limited
1,Armed Forces Veterans And Widows Welfare,"Armed Forces, Veterans, War Widows/ Dependants",Delhi,New Delhi,0,14.61,Other Implementing agencies,FY 2023-24,Icici Bank Limited
2,Promoting Healthcare,Health Care,Delhi,South Delhi,0,0.4,Directly by Company,FY 2023-24,Icici Bank Limited
3,Reviving Forgotten Arts,Art And Culture,Gujarat,Kheda,0,0.27,Other Implementing agencies,FY 2023-24,Icici Bank Limited
4,Restoration Of Heritage Sites,Art And Culture,Maharashtra,Mumbai City,0,0.36,Other Implementing agencies,FY 2023-24,Icici Bank Limited
5,Awareness On Fraud Prevention,Education,Maharashtra,Mumbai City,0,8.67,Other Implementing agencies,FY 2023-24,Icici Bank Limited
6,Promoting Education,Education,Maharashtra,Mumbai City,0,0.85,Directly by Company,FY 2023-24,Icici Bank Limited
7,Plantation,Environmental Sustainability,Maharashtra,Pune,0,0.62,Other Implementing agencies,FY 2023-24,Icici Bank Limited
8,Armed Forces Veterans And Widows Welfare,"Armed Forces, Veterans, War Widows/ Dependants",Pan India,Nec/ Not Mentioned,0,1.38,Other Implementing agencies,FY 2023-24,Icici Bank Limited
9,Watershed Development,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,0,19.03,Other Implementing agencies,FY 2023-24,Icici Bank Limited
10,Education,Education,Pan India,Nec/ Not Mentioned,0,16.93,Other Implementing agencies,FY 2023-24,Icici Bank Limited
11,Fellowship Project,Education,Pan India,Nec/ Not Mentioned,0,1.02,Other Implementing agencies,FY 2023-24,Icici Bank Limited
12,Financial Literacy,Education,Pan India,Nec/ Not Mentioned,0,0.88,Other Implementing agencies,FY 2023-24,Icici Bank Limited
13,Research & Development,Education,Pan India,Nec/ Not Mentioned,0,0.48,Other Implementing agencies,FY 2023-24,Icici Bank Limited
14,"Disaster, Natural Calamities,Etc.",Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,3.32,Other Implementing agencies,FY 2023-24,Icici Bank Limited
15,Forest Conservation And Ecology,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,30.38,Other Implementing agencies,FY 2023-24,Icici Bank Limited
16,Plantation,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,11.89,Other Implementing agencies,FY 2023-24,Icici Bank Limited
17,Projects For Promoting Sustainable Practices,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,3.39,Other Implementing agencies,FY 2023-24,Icici Bank Limited
18,Promoting Green Mobility,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,0.49,Other Implementing agencies,FY 2023-24,Icici Bank Limited
19,Rainwater Harvesting,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,30.6,Other Implementing agencies,FY 2023-24,Icici Bank Limited
20,Renewable Energy Projects,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,47.29,Other Implementing agencies,FY 2023-24,Icici Bank Limited
21,Supporting Healthcare,Health Care,Pan India,Nec/ Not Mentioned,0,14.75,Other Implementing agencies,FY 2023-24,Icici Bank Limited
22,Supporting Healthcare,Health Care,Pan India,Nec/ Not Mentioned,0,52.65,Other Implementing agencies,FY 2023-24,Icici Bank Limited
23,Tata Memorial Centre (Tmc) Project,Health Care,Pan India,Nec/ Not Mentioned,0,0,Other Implementing agencies,FY 2023-24,Icici Bank Limited
24,Incubator Projects,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,0.15,Other Implementing agencies,FY 2023-24,Icici Bank Limited
25,Pedestrian Bridges,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,1.5,Other Implementing agencies,FY 2023-24,Icici Bank Limited
26,Rural Livelihood And Value Chain Projects,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,0.28,Other Implementing agencies,FY 2023-24,Icici Bank Limited
27,Rural Livelihood And Value Chain Projects,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,77.42,Other Implementing agencies,FY 2023-24,Icici Bank Limited
28,Supporting Border Villages,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,2.88,Other Implementing agencies,FY 2023-24,Icici Bank Limited
29,Drinking Water Projects,Safe Drinking Water,Pan India,Nec/ Not Mentioned,0,3.78,Other Implementing agencies,FY 2023-24,Icici Bank Limited
30,Sanitation Projects,Sanitation,Pan India,Nec/ Not Mentioned,0,5.35,Other Implementing agencies,FY 2023-24,Icici Bank Limited
31,Solid Waste Management,Sanitation,Pan India,Nec/ Not Mentioned,0,11.1,Other Implementing agencies,FY 2023-24,Icici Bank Limited
32,Sports,Training To Promote Sports,Pan India,Nec/ Not Mentioned,0,0.42,Other Implementing agencies,FY 2023-24,Icici Bank Limited
33,Skill Development,Vocational Skills,Pan India,Nec/ Not Mentioned,0,0.02,Other Implementing agencies,FY 2023-24,Icici Bank Limited
34,Skill Development,Vocational Skills,Pan India,Nec/ Not Mentioned,0,4.76,Other Implementing agencies,FY 2023-24,Icici Bank Limited
35,Incubation Project,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0,0,Nec/ Not mentioned,FY 2023-24,Icici Bank Limited
36,Environment,Environmental Sustainability,Rajasthan,Banswara,0,0.05,Directly by Company,FY 2023-24,Icici Bank Limited
37,Har Ghar Tiranga,Education,Uttar Pradesh,Aligarh,0,0.02,Directly by Company,FY 2023-24,Icici Bank Limited
,Grand Total (INR Cr.),,,,0,0,,FY 2023-24,Icici Bank Limited
1,Disaster And Natural Calamities,Environmental Sustainability,Assam,Nec/ Not Mentioned,0,4.3,Other Implementing agencies,FY 2022-23,Icici Bank Limited
2,Skilling And Livelihood,Vocational Skills,Chhattisgarh,Raipur,0,0.04,Directly by Company,FY 2022-23,Icici Bank Limited
3,Supporting Armed Forces Battle Casualties,"Armed Forces, Veterans, War Widows/ Dependants",Delhi,New Delhi,0,2.61,Other Implementing agencies,FY 2022-23,Icici Bank Limited
4,Promoting Education,Education,Gujarat,Amreli,0,0.02,Directly by Company,FY 2022-23,Icici Bank Limited
5,Promoting Sports,Training To Promote Sports,Himachal Pradesh,Nec/ Not Mentioned,0,0.04,Directly by Company,FY 2022-23,Icici Bank Limited
6,Research And Development,Education,Karnataka,Nec/ Not Mentioned,0,0.12,Directly by Company,FY 2022-23,Icici Bank Limited
7,Reviving Heritage Structure,Art And Culture,Maharashtra,Mumbai City,0,0.68,Other Implementing agencies,FY 2022-23,Icici Bank Limited
8,Supporting Heritage Restoration,Art And Culture,Maharashtra,Mumbai City,0,1.07,Other Implementing agencies,FY 2022-23,Icici Bank Limited
9,Icici Fellowship Programme,Education,Maharashtra,Mumbai City,0,0.55,Other Implementing agencies,FY 2022-23,Icici Bank Limited
10,Promoting Healthcare,Health Care,Maharashtra,Mumbai City,0,0,Directly by Company,FY 2022-23,Icici Bank Limited
11,Project Prabal ( Promoting Education),"Armed Forces, Veterans, War Widows/ Dependants",Pan India,Nec/ Not Mentioned,0,0.19,Other Implementing agencies,FY 2022-23,Icici Bank Limited
12,Watershed Development,Conservation Of Natural Resources,Pan India,Nec/ Not Mentioned,0,20.65,Other Implementing agencies,FY 2022-23,Icici Bank Limited
13,Education And Vocational Support,Education,Pan India,Nec/ Not Mentioned,0,22.21,Other Implementing agencies,FY 2022-23,Icici Bank Limited
14,Financial Literacy,Education,Pan India,Nec/ Not Mentioned,0,0.14,Other Implementing agencies,FY 2022-23,Icici Bank Limited
15,Har Ghar Tiranga,Education,Pan India,Nec/ Not Mentioned,0,0.47,Directly by Company,FY 2022-23,Icici Bank Limited
16,Har Ghar Tiranga,Education,Pan India,Nec/ Not Mentioned,0,0.26,Other Implementing agencies,FY 2022-23,Icici Bank Limited
17,Social Awareness Programme,Education,Pan India,Nec/ Not Mentioned,0,28.63,Other Implementing agencies,FY 2022-23,Icici Bank Limited
18,Social Awareness Programmes,Education,Pan India,Nec/ Not Mentioned,0,14.98,Directly by Company,FY 2022-23,Icici Bank Limited
19,Forest Conservation And Ecology,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,21.03,Other Implementing agencies,FY 2022-23,Icici Bank Limited
20,Promoting Solar Energy Adoption At Rural Schools,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,49.35,Other Implementing agencies,FY 2022-23,Icici Bank Limited
21,Rainwater Harvesting,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,73.58,Other Implementing agencies,FY 2022-23,Icici Bank Limited
22,Tree Plantation Projects,Environmental Sustainability,Pan India,Nec/ Not Mentioned,0,11.07,Other Implementing agencies,FY 2022-23,Icici Bank Limited
23,Covid-19 Relief,Health Care,Pan India,Nec/ Not Mentioned,0,0.23,Directly by Company,FY 2022-23,Icici Bank Limited
24,Healthcare Projects,Health Care,Pan India,Nec/ Not Mentioned,0,80.93,Other Implementing agencies,FY 2022-23,Icici Bank Limited
25,Provision Of Dialysis Machines,Health Care,Pan India,Nec/ Not Mentioned,0,14.93,Other Implementing agencies,FY 2022-23,Icici Bank Limited
26,Skill Training Through Icici Academy For Skills,Livelihood Enhancement Projects,Pan India,Nec/ Not Mentioned,0,8.83,Other Implementing agencies,FY 2022-23,Icici Bank Limited
27,Rural Bridges,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,9.36,Other Implementing agencies,FY 2022-23,Icici Bank Limited
28,Rural Development And Related Activities,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,15.51,Directly by Company,FY 2022-23,Icici Bank Limited
29,Rural Livelihood And Value Chain Projects,Rural Development Projects,Pan India,Nec/ Not Mentioned,0,66.71,Other Implementing agencies,FY 2022-23,Icici Bank Limited
30,Provision For Drinking Water,Safe Drinking Water,Pan India,Nec/ Not Mentioned,0,0.04,Directly by Company,FY 2022-23,Icici Bank Limited
31,"Water, Sanitation And Hygience",Safe Drinking Water,Pan India,Nec/ Not Mentioned,0,10.29,Other Implementing agencies,FY 2022-23,Icici Bank Limited
32,Cleanliness & Hygiene Related Projects,Sanitation,Pan India,Nec/ Not Mentioned,0,0.42,Directly by Company,FY 2022-23,Icici Bank Limited
33,Waste Management Projects,Sanitation,Pan India,Nec/ Not Mentioned,0,13.61,Other Implementing agencies,FY 2022-23,Icici Bank Limited
34,Technology/Training Infrastructure,Other Central Government Funds,Pan India (Other Centralized Funds),Nec/ Not Mentioned,0,3.04,Nec/ Not mentioned,FY 2022-23,Icici Bank Limited
35,Promoting Healthcare,Health Care,Rajasthan,Jaipur,0,0.51,Directly by Company,FY 2022-23,Icici Bank Limited
36,Promoting Sports,Training To Promote Sports,Rajasthan,Udaipur,0,0.11,Other Implementing agencies,FY 2022-23,Icici Bank Limited
